word	value
aberrant	-0.5
abstain	-0.5
abstract	-0.5
acknowledge	-0.5
advocate	-0.5
amazing	-0.5
anomalous	-0.5
apology	-0.5
appreciation	-0.5
attention	-0.5
atypical	-0.5
authorize	-0.5
awesome	-0.5
back	-0.5
bizarre	-0.5
bright	-0.5
certify	-0.5
cheer	-0.5
comical	-0.5
confession	-0.5
creepy	-0.5
current	-0.5
declare	-0.5
dedication	-0.5
developed	-0.5
disclose	-0.5
dislike	-0.5
disorganization	-0.5
distorted	-0.5
establish	-0.5
eventful	-0.5
exceptional	-0.5
excessive	-0.5
exciting	-0.5
extraordinary	-0.5
extravagant	-0.5
fabricated	-0.5
farfetched	-0.5
freakish	-0.5
frightening	-0.5
full	-0.5
gentle	-0.5
ghostly	-0.5
grotesque	-0.5
hate	-0.5
hyperbolic	-0.5
incredible	-0.5
indicate	-0.5
inflated	-0.5
interesting	-0.5
introspective	-0.5
invite	-0.5
irregular	-0.5
irresponsibility	-0.5
lawlessness	-0.5
light	-0.5
lively	-0.5
logical	-0.5
magnified	-0.5
manage	-0.5
meaningful	-0.5
mysterious	-0.5
new	-0.5
nightmarish	-0.5
offbeat	-0.5
original	-0.5
otherworldly	-0.5
outlandish	-0.5
outstanding	-0.5
overblown	-0.5
overwrought	-0.5
particular	-0.5
pensive	-0.5
phenomenal	-0.5
practical	-0.5
pretentious	-0.5
provide	-0.5
ratify	-0.5
reaction	-0.5
recognize	-0.5
recommend	-0.5
regale	-0.5
relieve	-0.5
responsible	-0.5
reveal	-0.5
ridiculous	-0.5
scary	-0.5
sensitive	-0.5
serve	-0.5
set	-0.5
sharp	-0.5
sign	-0.5
special	-0.5
strange	-0.5
stylized	-0.5
supernatural	-0.5
surprising	-0.5
sustain	-0.5
talk	-0.5
tell	-0.5
terrific	-0.5
tickle	-0.5
uncanny	-0.5
unemotional	-0.5
unexpected	-0.5
unheard-of	-0.5
unimaginable	-0.5
unnatural	-0.5
unprecedented	-0.5
uphold	-0.5
weird	-0.5
whimsical	-0.5
wise	-0.5
wow	-0.5
uncommon	-0.458333333333333
delight	-0.425
admit	-0.416666666666667
comply	-0.416666666666667
license	-0.416666666666667
intelligent	-0.41
agree	-0.375
answer	-0.375
grace	-0.375
gratitude	-0.375
remarkable	-0.375
response	-0.375
settle	-0.375
unusual	-0.375
help	-0.361111111111111
allow	-0.357142857142857
concede	-0.357142857142857
receive	-0.357142857142857
curious	-0.35
marvelous	-0.35
peculiar	-0.35
smart	-0.35
approve	-0.333333333333333
ignore	-0.333333333333333
liberate	-0.333333333333333
recognition	-0.333333333333333
sanction	-0.333333333333333
permit	-0.325
soothe	-0.321428571428571
charm	-0.3125
invocation	-0.3125
okay	-0.3125
support	-0.3125
concur	-0.305555555555556
acknowledgment	-0.3
thanks	-0.3
aid	-0.291666666666667
free	-0.285714285714286
release	-0.28125
acquiesce	-0.277777777777778
confirm	-0.275
false	-0.275
fresh	-0.275
quixotic	-0.275
rare	-0.275
rational	-0.275
singular	-0.275
unique	-0.275
unrealistic	-0.275
utopian	-0.275
please	-0.268214285714286
absolution	-0.25
accede	-0.25
acceptance	-0.25
acclaim	-0.25
acclamation	-0.25
accredit	-0.25
acquiescence	-0.25
admission	-0.25
agreement	-0.25
allowance	-0.25
allure	-0.25
amen	-0.25
amplified	-0.25
applause	-0.25
appreciativeness	-0.25
approbation	-0.25
approval	-0.25
arrange	-0.25
assent	-0.25
assist	-0.25
authorization	-0.25
avail	-0.25
avow	-0.25
avowal	-0.25
bare	-0.25
beatitude	-0.25
beguile	-0.25
belief	-0.25
benediction	-0.25
benefit	-0.25
benison	-0.25
bestowal	-0.25
bless	-0.25
blessing	-0.25
boost	-0.25
bouncing	-0.25
bow	-0.25
brain	-0.25
buy	-0.25
canonization	-0.25
captivate	-0.25
card	-0.25
charter	-0.25
check	-0.25
chimeral	-0.25
commendation	-0.25
communicate	-0.25
compliment	-0.25
concession	-0.25
concurrence	-0.25
condonation	-0.25
confide	-0.25
confidence	-0.25
consecration	-0.25
consent	-0.25
contract	-0.25
cooperate	-0.25
cowardice	-0.25
credence	-0.25
credit	-0.25
defer	-0.25
different	-0.25
dig	-0.25
dispensation	-0.25
distinction	-0.25
divert	-0.25
divulge	-0.25
embroidered	-0.25
empower	-0.25
empowerment	-0.25
enchant	-0.25
encourage	-0.25
endorsement	-0.25
engage	-0.25
enumerate	-0.25
exalted	-0.25
fail	-0.25
faith	-0.25
fame	-0.25
fascinate	-0.25
fear	-0.25
flatter	-0.25
fold	-0.25
fracture	-0.25
freedom	-0.25
genius	-0.25
gift	-0.25
gladden	-0.25
glory	-0.25
grab	-0.25
gratefulness	-0.25
greeting	-0.25
groove	-0.25
guarantee	-0.25
honor	-0.25
humor	-0.25
imprimatur	-0.25
increase	-0.25
indebtedness	-0.25
indecision	-0.25
indulge	-0.25
indulgence	-0.25
insert	-0.25
interest	-0.25
intrigue	-0.25
irresolution	-0.25
kill	-0.25
kudos	-0.25
let	-0.25
letter	-0.25
letting	-0.25
liberty	-0.25
loose	-0.25
loosen	-0.25
lose	-0.25
maintain	-0.25
may	-0.25
merit	-0.25
narrate	-0.25
nod	-0.25
notice	-0.25
number	-0.25
obey	-0.25
oblige	-0.25
occupy	-0.25
open	-0.25
orison	-0.25
overdone	-0.25
overestimated	-0.25
own	-0.25
pamper	-0.25
panic	-0.25
permission	-0.25
petition	-0.25
points	-0.25
praise	-0.25
privilege	-0.25
proclaim	-0.25
profess	-0.25
promise	-0.25
pronounce	-0.25
receipt	-0.25
recite	-0.25
refrain	-0.25
relate	-0.25
reliance	-0.25
reply	-0.25
requital	-0.25
respect	-0.25
responsiveness	-0.25
retreat	-0.25
return	-0.25
salutation	-0.25
sanctification	-0.25
seal	-0.25
second	-0.25
signature	-0.25
slay	-0.25
spill	-0.25
splendid	-0.25
statement	-0.25
steep	-0.25
sterling	-0.25
strained	-0.25
strokes	-0.25
submit	-0.25
sufferance	-0.25
suit	-0.25
surrender	-0.25
tantalize	-0.25
tempt	-0.25
testimonial	-0.25
thankfulness	-0.25
thanksgiving	-0.25
timidity	-0.25
token	-0.25
tolerance	-0.25
tolerate	-0.25
toleration	-0.25
tribute	-0.25
unbind	-0.25
uncover	-0.25
unfasten	-0.25
unveil	-0.25
validate	-0.25
verification	-0.25
weakness	-0.25
yield	-0.25
affirm	-0.233333333333333
endorse	-0.233333333333333
fantastic	-0.23
odd	-0.225
gratify	-0.18125
fanciful	-0.1625
avoid	-0.15
comfort	-0.15
afford	-0.125
hold	-0.125
repulse	-0.125
chimerical	-0.116666666666667
preposterous	-0.1125
appease	-0.1
commit	-0.09375
calm	-0.0833333333333334
grant	-0.0758928571428572
abstracted	-0.05
addressing	-0.05
aggressive	-0.05
ahead	-0.05
alert	-0.05
animated	-0.05
anomalistic	-0.05
apparent	-0.05
artificial	-0.05
assuage	-0.05
astral	-0.05
attest	-0.05
awake	-0.05
aware	-0.05
balanced	-0.05
befit	-0.05
beguiling	-0.05
being	-0.05
benedicite	-0.05
benedictus	-0.05
boss	-0.05
calming	-0.05
camp	-0.05
caricatural	-0.05
condonance	-0.05
conscious	-0.05
contradiction	-0.05
convenience	-0.05
could	-0.05
counteract	-0.05
countermand	-0.05
crawly	-0.05
daydreaming	-0.05
deceiving	-0.05
deluding	-0.05
delusive	-0.05
delusory	-0.05
developing	-0.05
deviant	-0.05
deviate	-0.05
deviating	-0.05
distinguished	-0.05
divergent	-0.05
dodge	-0.05
eccentric	-0.05
eminent	-0.05
entity	-0.05
evade	-0.05
excellent	-0.05
excited	-0.05
eximious	-0.05
fab	-0.05
fabulous	-0.05
fallacious	-0.05
fantastical	-0.05
far-out	-0.05
fascinating	-0.05
fast	-0.05
fearful	-0.05
fictional	-0.05
filled	-0.05
flash	-0.05
forward	-0.05
gnarly	-0.05
grody	-0.05
gross	-0.05
habited	-0.05
hailing	-0.05
hallucinatory	-0.05
hammy	-0.05
harm	-0.05
heavy	-0.05
heteroclite	-0.05
heterodox	-0.05
heteromorphic	-0.05
histrionic	-0.05
idealistic	-0.05
illusive	-0.05
illusory	-0.05
imaginary	-0.05
imagined	-0.05
immaterial	-0.05
impossible	-0.05
impractical	-0.05
inclement	-0.05
inconceivable	-0.05
intangible	-0.05
introvertive	-0.05
kooky	-0.05
lulling	-0.05
made-up	-0.05
misleading	-0.05
misty	-0.05
mollify	-0.05
musing	-0.05
mythical	-0.05
notional	-0.05
occupied	-0.05
oddball	-0.05
off-base	-0.05
off-color	-0.05
ostensible	-0.05
outre	-0.05
outré	-0.05
overkill	-0.05
phantasmagoric	-0.05
phantasmagorical	-0.05
phantasmal	-0.05
phantasmic	-0.05
placate	-0.05
powerlessness	-0.05
precocious	-0.05
preoccupied	-0.05
preternatural	-0.05
prove	-0.05
queer	-0.05
relaxing	-0.05
reversal	-0.05
revocation	-0.05
sane	-0.05
satisfy	-0.05
schmaltzy	-0.05
scorn	-0.05
seeming	-0.05
sensational	-0.05
shadowy	-0.05
shun	-0.05
solace	-0.05
soothing	-0.05
spastic	-0.05
specious	-0.05
spectacular	-0.05
spectral	-0.05
speculative	-0.05
spinelessness	-0.05
spurious	-0.05
stupendous	-0.05
subordination	-0.05
subtract	-0.05
superstitious	-0.05
tall	-0.05
too-too	-0.05
understanding	-0.05
unearthly	-0.05
unfamiliar	-0.05
unfounded	-0.05
unorthodox	-0.05
unreal	-0.05
unshy	-0.05
unsubstantial	-0.05
unthinkable	-0.05
unwonted	-0.05
verify	-0.05
visionary	-0.05
way-out	-0.05
wicked	-0.05
wild	-0.05
wintery	-0.05
withdraw	-0.05
yes	-0.05
obligation	-0.0416666666666667
neglect	-0.0375
disallow	-0.0178571428571428
repudiate	-0.0138888888888888
absurd	0
accord	0
certain	0
entice	0
expose	0
favor	0
fix	0
funny	0
furnish	0
hail	0
ineptness	0
leave	0
ludicrous	0
melodramatic	0
realistic	0
reasonable	0
recall	0
salute	0
screwy	0
serious	0
slight	0
subscribe	0
vague	0
warrant	0
accept	0.0178571428571428
anathema	0.05
anencephalic	0.05
anencephalous	0.05
arid	0.05
arrested	0.05
batty	0.05
beefhead	0.05
behind	0.05
bequest	0.05
blah	0.05
blight	0.05
block	0.05
bromidic	0.05
campy	0.05
cannot	0.05
cash	0.05
characterless	0.05
checked	0.05
clichéd	0.05
clumsiness	0.05
cold	0.05
colorless	0.05
confute	0.05
contend	0.05
cornball	0.05
cornfed	0.05
cracked	0.05
crazed	0.05
cretinous	0.05
curse	0.05
daffy	0.05
daft	0.05
damnation	0.05
damnification	0.05
deadpan	0.05
debar	0.05
decrease	0.05
delayed	0.05
demur	0.05
denounce	0.05
dense	0.05
depreciated	0.05
depreciation	0.05
deranged	0.05
dippy	0.05
disacknowledgement	0.05
disadvantage	0.05
disarrange	0.05
disclaim	0.05
disclaimer	0.05
discredit	0.05
dishonor	0.05
dismiss	0.05
disparagement	0.05
disregard	0.05
disrespect	0.05
dopey	0.05
dotty	0.05
drowsy	0.05
drugged	0.05
dumbbell	0.05
dumbo	0.05
dummkopf	0.05
eject	0.05
employ	0.05
everyday	0.05
exclude	0.05
execration	0.05
expel	0.05
feeble	0.05
feeble-minded	0.05
flaky	0.05
freaky	0.05
fruitless	0.05
frustrate	0.05
gainsay	0.05
half-witted	0.05
halfwit	0.05
hardhead	0.05
harebrain	0.05
harebrained	0.05
hebetudinous	0.05
hire	0.05
hokey	0.05
honest	0.05
horrible	0.05
idiotic	0.05
inane	0.05
incongruous	0.05
inconscious	0.05
inexpressive	0.05
ingratitude	0.05
inscrutable	0.05
insensible	0.05
insipid	0.05
interminable	0.05
irksome	0.05
jokey	0.05
joshing	0.05
knothead	0.05
lame-brain	0.05
legate	0.05
lethargic	0.05
limit	0.05
loss	0.05
masklike	0.05
meathead	0.05
mercilessness	0.05
minimized	0.05
moronic	0.05
moth-eaten	0.05
noncommittal	0.05
noplace	0.05
nuts	0.05
nutty	0.05
oust	0.05
out	0.05
pabulum	0.05
pedestrian	0.05
platitudinous	0.05
poker-faced	0.05
potty	0.05
prosaic	0.05
reduced	0.05
repetitious	0.05
retract	0.05
revoke	0.05
sappy	0.05
shopworn	0.05
shut	0.05
sleepy	0.05
sluggish	0.05
slumberous	0.05
somnolent	0.05
sophomoric	0.05
soporose	0.05
spiritless	0.05
square	0.05
stock	0.05
stupefied	0.05
stuporous	0.05
subnormal	0.05
tab	0.05
tactlessness	0.05
terrible	0.05
thanklessness	0.05
thoughtless	0.05
threadbare	0.05
tire	0.05
tired	0.05
torpid	0.05
tripe	0.05
truthful	0.05
uncommunicative	0.05
underprivileged	0.05
understated	0.05
unembellished	0.05
unexaggerated	0.05
unexciting	0.05
unexpressive	0.05
unextraordinary	0.05
unforgiveness	0.05
unimaginative	0.05
unoriginal	0.05
unromantic	0.05
unsuit	0.05
unsurprising	0.05
unvaried	0.05
vacuous	0.05
warmed-over	0.05
watery	0.05
wearisome	0.05
well-worn	0.05
wishy-washy	0.05
witless	0.05
keep	0.0625
reject	0.0740740740740741
withhold	0.0833333333333334
refuse	0.0949074074074074
cool	0.1
hurt	0.1
opposition	0.1
silly	0.10625
disagree	0.111111111111111
sensible	0.1125
stereotyped	0.116666666666667
adopt	0.125
mandate	0.125
question	0.125
supply	0.125
imbecile	0.135714285714286
anger	0.15
bar	0.15
clod	0.15
dead	0.15
dodo	0.15
flat	0.15
impede	0.15
loony	0.15
nothing	0.15
nowhere	0.15
obstruct	0.15
prevent	0.15
zero	0.15
foolish	0.1625
hide	0.166666666666667
repel	0.17
condemn	0.183333333333333
condemnation	0.183333333333333
enclose	0.183333333333333
impound	0.183333333333333
knucklehead	0.183333333333333
bore	0.2
customary	0.2
differ	0.2
nitwit	0.2
oaf	0.21
take	0.214285714285714
disapproval	0.216666666666667
dullard	0.216666666666667
blockhead	0.221428571428571
ignoramus	0.221428571428571
numskull	0.221428571428571
disapprove	0.224074074074074
oppose	0.224074074074074
dolt	0.225
dunce	0.225
fool	0.225
simpleton	0.225
dull	0.229166666666667
moron	0.23
ordinary	0.23
abuse	0.25
act	0.25
address	0.25
adjuration	0.25
aggravate	0.25
agonize	0.25
argue	0.25
ass	0.25
assign	0.25
ban	0.25
basic	0.25
bear	0.25
behest	0.25
bequeath	0.25
bidding	0.25
bind	0.25
birdbrain	0.25
blame	0.25
bomb	0.25
bonehead	0.25
boring	0.25
bound	0.25
brace	0.25
break	0.25
buffoon	0.25
bummer	0.25
bust	0.25
cage	0.25
call	0.25
canon	0.25
caveat	0.25
censor	0.25
censure	0.25
challenge	0.25
charge	0.25
chump	0.25
circumscribe	0.25
citation	0.25
cloying	0.25
co-opt	0.25
commandment	0.25
confer	0.25
confine	0.25
confound	0.25
confuse	0.25
controvert	0.25
corral	0.25
courage	0.25
cover	0.25
cramp	0.25
crave	0.25
create	0.25
creep	0.25
criticize	0.25
cross	0.25
crucify	0.25
cull	0.25
dare	0.25
decree	0.25
defeat	0.25
delimit	0.25
demand	0.25
demolish	0.25
denial	0.25
desire	0.25
devise	0.25
devoir	0.25
dictate	0.25
dictation	0.25
dictum	0.25
difference	0.25
dimwit	0.25
disagreement	0.25
disbelief	0.25
disenchant	0.25
disfavor	0.25
disgust	0.25
dismay	0.25
disown	0.25
dispense	0.25
dispraise	0.25
distress	0.25
distrust	0.25
donkey	0.25
dope	0.25
dork	0.25
doubt	0.25
dower	0.25
drab	0.25
drag	0.25
drip	0.25
drudging	0.25
dumdum	0.25
dummy	0.25
dunderhead	0.25
edict	0.25
empty	0.25
enactment	0.25
encounter	0.25
endow	0.25
enrich	0.25
enslave	0.25
envelop	0.25
espouse	0.25
exaction	0.25
excerpt	0.25
extract	0.25
face	0.25
fancy	0.25
fiat	0.25
fight	0.25
finger	0.25
firmness	0.25
flag	0.25
forbid	0.25
fortitude	0.25
gag	0.25
glean	0.25
goof	0.25
greet	0.25
grieve	0.25
grit	0.25
guts	0.25
half-wit	0.25
harass	0.25
hardihood	0.25
harrow	0.25
harry	0.25
heart	0.25
hem	0.25
hog-tie	0.25
ice	0.25
immure	0.25
imperative	0.25
imposition	0.25
imprisonment	0.25
incarceration	0.25
injunction	0.25
injure	0.25
interdiction	0.25
intern	0.25
irk	0.25
jackass	0.25
jerk	0.25
lacerate	0.25
lightweight	0.25
limitation	0.25
loser	0.25
lunkhead	0.25
martyr	0.25
meet	0.25
mettle	0.25
mew	0.25
mute	0.25
muzzle	0.25
negate	0.25
nerd	0.25
nerve	0.25
nincompoop	0.25
ninny	0.25
noodle	0.25
notification	0.25
object	0.25
oppugn	0.25
ordinance	0.25
outrage	0.25
overcome	0.25
overthrow	0.25
overturn	0.25
overwhelm	0.25
parry	0.25
pen	0.25
perturb	0.25
pester	0.25
pinhead	0.25
pique	0.25
plebeian	0.25
pluck	0.25
precept	0.25
predestine	0.25
prescript	0.25
present	0.25
press	0.25
proclamation	0.25
proffer	0.25
prohibition	0.25
proposition	0.25
proscription	0.25
provoke	0.25
quash	0.25
rebut	0.25
refusal	0.25
rejection	0.25
repress	0.25
repudiation	0.25
requirement	0.25
requisition	0.25
resolution	0.25
resolve	0.25
restraint	0.25
restriction	0.25
routine	0.25
sacrifice	0.25
scatterbrain	0.25
schnook	0.25
screwball	0.25
secrete	0.25
sell	0.25
separate	0.25
shorten	0.25
sicken	0.25
silence	0.25
slander	0.25
slot	0.25
smite	0.25
soft-pedal	0.25
sort	0.25
spunk	0.25
squelch	0.25
stamina	0.25
steadfastness	0.25
stiff	0.25
stifle	0.25
strike	0.25
stupid	0.25
subpoena	0.25
subvert	0.25
summons	0.25
suppress	0.25
tag	0.25
tap	0.25
taunt	0.25
tenacity	0.25
tender	0.25
thwart	0.25
tomfool	0.25
toughness	0.25
transmit	0.25
trap	0.25
trouble	0.25
try	0.25
twit	0.25
ultimatum	0.25
unimportance	0.25
vanquish	0.25
vex	0.25
weigh	0.25
welcome	0.25
will	0.25
willpower	0.25
winnow	0.25
wish	0.25
worry	0.25
writ	0.25
idiot	0.255555555555556
criticism	0.25625
imprison	0.2625
incarcerate	0.2625
displease	0.267857142857143
upset	0.270833333333333
actual	0.275
common	0.275
conventional	0.275
crazy	0.275
detain	0.275
factual	0.275
humdrum	0.275
renounce	0.275
senseless	0.275
straight	0.275
vapid	0.275
wacky	0.275
disturb	0.28125
offend	0.28125
deny	0.311111111111111
disappoint	0.3125
commonplace	0.325
hinder	0.333333333333333
jail	0.333333333333333
restrain	0.333333333333333
annoy	0.34375
real	0.35
stale	0.35
decline	0.372222222222222
bother	0.375
conceal	0.375
confront	0.375
contradict	0.375
discourage	0.375
disprove	0.375
dissuade	0.375
invalidate	0.375
pain	0.375
request	0.375
dissent	0.4
protest	0.4
resist	0.416666666666667
bestow	0.4375
veto	0.4375
regular	0.45
dispute	0.472222222222222
add	0.5
afflict	0.5
appoint	0.5
average	0.5
bad	0.5
banal	0.5
believable	0.5
beset	0.5
bland	0.5
burden	0.5
buttonhole	0.5
cast	0.5
conforming	0.5
constrain	0.5
corny	0.5
depress	0.5
designate	0.5
destroy	0.5
determination	0.5
determine	0.5
devote	0.5
direction	0.5
dumb	0.5
duty	0.5
earthly	0.5
elect	0.5
embrace	0.5
entrust	0.5
expected	0.5
familiar	0.5
general	0.5
give	0.5
goofy	0.5
hackneyed	0.5
hollow	0.5
illogical	0.5
immobile	0.5
impart	0.5
impassive	0.5
indifferent	0.5
inferior	0.5
irrational	0.5
judge	0.5
late	0.5
laughable	0.5
law	0.5
lifeless	0.5
like	0.5
listen	0.5
love	0.5
mawkish	0.5
meaningless	0.5
mindless	0.5
misunderstand	0.5
moderate	0.5
monotonous	0.5
mundane	0.5
name	0.5
natural	0.5
nonsensical	0.5
normal	0.5
old-fashioned	0.5
oppress	0.5
order	0.5
plague	0.5
plain	0.5
poor	0.5
prefer	0.5
rack	0.5
regulation	0.5
responsibility	0.5
restrict	0.5
rule	0.5
sentimental	0.5
share	0.5
similar	0.5
standard	0.5
stodgy	0.5
stop	0.5
stuffy	0.5
subsidize	0.5
tame	0.5
tedious	0.5
tiresome	0.5
tiring	0.5
torment	0.5
torture	0.5
trite	0.5
typical	0.5
underdeveloped	0.5
undeveloped	0.5
unexceptional	0.5
unimportant	0.5
uninteresting	0.5
unreasonable	0.5
unremarkable	0.5
usual	0.5
vacant	0.5
want	0.5
word	0.5
worthless	0.5
wound	0.5
unheardof	-0.5
farout	-0.05
madeup	-0.05
offbase	-0.05
offcolor	-0.05
tootoo	-0.05
wayout	-0.05
feebleminded	0.05
halfwitted	0.05
lamebrain	0.05
motheaten	0.05
pokerfaced	0.05
warmedover	0.05
wellworn	0.05
wishywashy	0.05
coopt	0.25
halfwit	0.25
hogtie	0.25
softpedal	0.25
oldfashioned	0.5
